I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,3,21,0,0,1973.899453,612.114450,800.883591,2459.851139,161064,12254896,0,80532,0,0
10000000,3,22,0,0,579.654488,48.653827,425.985370,393.632166,5756332,19985024,0,356608,643,0
10000000,3,23,0,0,1296.613314,36.281596,136.377131,357.275446,99024410,19999976,0,357142,713076,0
10000000,3,21,1,0,2219.441162,616.310795,1072.269252,2476.062308,161064,12254896,0,80532,0,0
10000000,3,22,1,0,762.366155,48.401506,585.740377,393.161921,5756332,19985024,0,356608,643,0
10000000,3,23,1,0,1708.796928,36.424921,286.240448,355.722544,99024410,19999976,0,357142,713076,0
10000000,3,21,0,1,2026.757146,721.848839,812.427496,3367.183761,161064,12254896,0,80532,0,0
10000000,3,22,0,1,583.098494,49.650409,430.352030,988.390098,5756332,19985024,0,356608,643,643
10000000,3,23,0,1,1304.491826,35.874767,139.832809,1630.663811,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,1,2170.989579,727.423783,1078.453645,3476.536762,161064,12254896,0,80532,0,0
10000000,3,22,1,1,760.493484,50.070257,589.771887,1259.826719,5756332,19985024,0,356608,643,643
10000000,3,23,1,1,1657.349277,35.934719,286.711351,1938.210228,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,2,1071.050009,363.809426,414.840665,1807.730383,161064,12254896,0,80532,0,0
10000000,3,22,0,2,408.658193,25.053954,222.007113,660.032558,5756332,19985024,0,356608,643,643
10000000,3,23,0,2,1795.036862,18.315299,71.264402,2325.693976,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,2,1151.173956,367.336506,546.929246,1861.006050,161064,12254896,0,80532,0,0
10000000,3,22,1,2,504.043443,25.122206,283.781137,792.945334,5756332,19985024,0,356608,643,643
10000000,3,23,1,2,2351.831097,18.018107,233.654188,2839.046727,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,4,555.347899,184.240701,218.165692,941.966912,161064,12254896,0,80532,0,0
10000000,3,22,0,4,296.077892,12.794418,115.951310,414.085792,5756332,19985024,0,356608,643,643
10000000,3,23,0,4,1963.256398,9.737084,36.286154,1949.677242,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,4,600.791217,186.377983,281.688642,962.770182,161064,12254896,0,80532,0,0
10000000,3,22,1,4,326.778538,12.776647,142.740949,475.759630,5756332,19985024,0,356608,643,643
10000000,3,23,1,4,2908.572739,9.058125,91.464091,3489.229444,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,8,355.539741,99.989853,128.955266,614.416885,161064,12254896,0,80532,0,0
10000000,3,22,0,8,387.270215,6.504845,89.045484,608.602271,5756332,19985024,0,356608,643,643
10000000,3,23,0,8,2081.370227,5.385215,21.181034,3882.879207,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,8,406.771833,100.048524,155.860399,631.747086,161064,12254896,0,80532,0,0
10000000,3,22,1,8,436.458137,6.449491,128.531637,643.873744,5756332,19985024,0,356608,643,643
10000000,3,23,1,8,4820.530845,4.658673,86.393648,5793.738348,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,16,305.059073,49.468867,68.732697,504.277320,161064,12254896,0,80532,0,0
10000000,3,22,0,16,340.042588,3.329395,61.991953,518.752690,5756332,19985024,0,356608,643,643
10000000,3,23,0,16,3735.958954,2.806053,14.474360,4908.992658,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,16,325.252381,49.453106,79.430763,501.119228,161064,12254896,0,80532,0,0
10000000,3,22,1,16,360.509197,3.338806,71.656785,495.410138,5756332,19985024,0,356608,643,643
10000000,3,23,1,16,5730.538259,2.528830,52.349762,6926.909976,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,24,323.776163,34.975104,60.205585,477.942772,161064,12254896,0,80532,0,0
10000000,3,22,0,24,347.655183,2.246248,48.464723,486.260424,5756332,19985024,0,356608,643,643
10000000,3,23,0,24,3706.956384,1.852601,13.488198,4089.763217,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,24,323.088540,33.496100,54.270116,481.745664,161064,12254896,0,80532,0,0
10000000,3,22,1,24,352.841986,2.250168,53.255390,460.202244,5756332,19985024,0,356608,643,643
10000000,3,23,1,24,6352.432788,1.695994,37.122958,7173.647444,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,32,315.628052,24.936977,46.550277,489.990808,161064,12254896,0,80532,0,0
10000000,3,22,0,32,355.126972,1.775447,48.362217,435.344587,5756332,19985024,0,356608,643,643
10000000,3,23,0,32,3842.625504,1.357129,12.766937,4234.932275,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,32,332.463052,24.801780,43.579378,489.304204,161064,12254896,0,80532,0,0
10000000,3,22,1,32,352.496314,1.789828,44.218056,407.495359,5756332,19985024,0,356608,643,643
10000000,3,23,1,32,6897.216431,1.418682,34.831137,8092.762901,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,40,340.457587,21.968237,45.340785,505.138148,161064,12254896,0,80532,0,0
10000000,3,22,0,40,395.533135,1.644992,53.694338,438.033826,5756332,19985024,0,356608,643,643
10000000,3,23,0,40,3822.230856,1.163770,12.558747,4253.575080,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,40,334.821180,22.388285,39.992392,514.222921,161064,12254896,0,80532,0,0
10000000,3,22,1,40,369.701077,1.750126,39.485439,423.058730,5756332,19985024,0,356608,643,643
10000000,3,23,1,40,7285.831868,1.118028,31.983833,8304.025768,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,48,360.376235,21.357495,44.518770,510.330668,161064,12254896,0,80532,0,0
10000000,3,22,0,48,407.182015,1.441865,44.513060,422.646525,5756332,19985024,0,356608,643,643
10000000,3,23,0,48,3865.533001,1.020676,11.898091,5124.043973,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,48,347.647323,22.957416,38.414576,505.659111,161064,12254896,0,80532,0,0
10000000,3,22,1,48,381.594647,1.460285,36.368415,407.380807,5756332,19985024,0,356608,643,643
10000000,3,23,1,48,7678.065521,1.023276,34.118623,9047.089686,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,56,361.518254,22.748756,44.465524,512.412846,161064,12254896,0,80532,0,0
10000000,3,22,0,56,414.454033,1.411163,44.201033,412.100398,5756332,19985024,0,356608,643,643
10000000,3,23,0,56,3962.936893,1.009925,10.940238,5230.441820,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,56,351.242142,24.966254,37.931711,516.646857,161064,12254896,0,80532,0,0
10000000,3,22,1,56,385.448426,1.531658,35.837918,400.190062,5756332,19985024,0,356608,643,643
10000000,3,23,1,56,7720.822760,0.923211,32.206605,9526.632528,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,64,352.055242,23.470685,43.626193,515.882058,161064,12254896,0,80532,0,0
10000000,3,22,0,64,423.822846,1.305698,44.736663,402.778068,5756332,19985024,0,356608,643,643
10000000,3,23,0,64,3988.590919,0.919501,10.468736,4410.359727,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,64,355.219992,25.038624,37.341393,515.866521,161064,12254896,0,80532,0,0
10000000,3,22,1,64,389.682844,1.440384,35.371064,395.297972,5756332,19985024,0,356608,643,643
10000000,3,23,1,64,8066.761606,0.914791,34.356158,9900.966035,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,128,291.854098,26.949359,46.504827,280.212619,161064,12254896,0,80532,0,0
10000000,3,22,0,128,294.327826,2.053851,45.752015,296.321415,5756332,19985024,0,356608,643,643
10000000,3,23,0,128,4360.761511,1.190373,10.506637,6759.400109,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,128,269.253754,27.263112,36.577826,273.447230,161064,12254896,0,80532,0,0
10000000,3,22,1,128,278.023653,2.056801,32.787547,311.384604,5756332,19985024,0,356608,643,643
10000000,3,23,1,128,7757.833766,1.458995,32.779985,9807.684154,99024410,19999976,0,357142,713076,713076
